F Weight Lower,F Weight Upper,F Wing Lower,F Wing Upper,M Weight Lower,M Weight Upper,M Wing Lower,M Wing Upper,Species Code
0,0,165,181,0,0,163,179,BLSP
41,48,152,171,41,48,154,170,BLSW
0,78,190,218,0,78,196,224,BLTE
0,0,141,159,0,0,139,154,BLTU
0,0,70,77,0,0,72,81,BLUE
0,0,67,74,0,0,72,78,BLUH
0,0,406,451,0,0,408,450,BLVU
0,0,312,357,0,0,310,345,BNOW
0,0,206,229,0,0,215,239,BNST
0,0,0,0,0,0,0,0,BNTE
22,45,80,93,30,56,91,105,BOBO
8,12,52,69,8,12,58,70,BOCH
140,217,242,267,140,217,247,272,BOGU
126,194,173,198,90,113,163,179,BOOW
0,0,0,0,0,0,0,0,BOPE
0,0,59,68,0,0,61,71,BOSP
0,0,109,119,0,0,111,121,BOWA
0,0,0,0,0,0,0,0,BRAC
21,31,0,0,21,31,0,0,BRAM
50,67,111,126,60,73,121,137,BRBL
0,0,0,0,0,0,0,0,BRBO
6,11,57,67,6,10,59,69,BRCR
173,224,196,214,173,224,202,219,BRJA
0,0,0,0,0,0,0,0,BRMA
0,0,0,0,0,0,0,0,BRNG
0,0,0,0,0,0,0,0,BRNO
39,65,97,109,59,72,111,124,BROC
0,0,0,0,0,0,0,0,BRPE
0,0,0,0,0,0,0,0,BRQD
0,0,0,0,0,0,0,0,BRSH
0,0,0,0,0,0,0,0,BRSK
0,0,56,64,0,0,59,69,BRSP
0,0,0,0,0,0,0,0,BRTE
56,103,93,114,57,95,98,117,BRTH
0,0,58,65,0,0,62,68,BRTI
0,0,0,0,0,0,0,0,BRTR
0,0,50,63,0,0,55,67,BRWA
0,0,0,0,0,0,0,0,BRWE
0,0,0,0,0,0,0,0,BRWX
0,0,59,67,0,0,62,70,BSSP
7,14,56,64,8,14,60,68,BTBW
0,0,237,266,0,0,233,255,BTCU
0,0,43,48,0,0,45,50,BTGN
102,132,127,150,175,253,164,194,BTGR
0,0,0,0,0,0,0,0,BTGU
0,0,48,52,0,0,46,51,BTLH
6,12,52,64,7,14,57,68,BTNW
0,0,0,0,0,0,0,0,BTPA
0,0,198,224,0,0,201,230,BTPI
0,0,55,68,0,0,60,70,BTSP
0,0,56,66,0,0,58,69,BTYW
0,0,0,0,0,0,0,0,BUAL
0,0,0,0,0,0,0,0,BUFF
0,0,52,56,0,0,53,59,BUFH
2,3,0,0,2,3,0,0,BUHU
0,0,276,302,0,0,278,304,BULS
29,38,84,101,29,38,90,107,BUOR
0,0,155,174,0,0,156,178,BUOW
0,0,0,0,0,0,0,0,BUPE
0,0,43,48,0,0,44,49,BUSH
36,50,0,0,36,50,0,0,BVOR
0,0,223,246,0,0,225,248,BVSH
0,0,90,97,0,0,94,102,BWAG
381,559,258,296,295,387,246,282,BWHA
0,0,0,0,0,0,0,0,BWTE
0,0,73,80,0,0,75,83,BWVI
6,10,50,61,6,11,55,64,BWWA
0,0,0,0,0,0,0,0,CAAU
0,0,335,384,0,0,351,400,CACG
8,11,53,68,8,11,55,69,CACH
0,0,78,88,0,0,80,92,CACW
0,0,0,0,0,0,0,0,CADO
0,0,0,0,0,0,0,0,CAEG
18,28,0,0,18,28,0,0,CAEL
20,37,84,93,20,37,88,98,CAFI
0,0,44,48,0,0,46,50,CAGN
0,0,400,525,0,0,422,548,CAGO
0,0,0,0,0,0,0,0,CAGU
0,0,0,0,0,0,0,0,CAHO
2,3,40,44,2,3,37,41,CAHU
0,0,116,132,0,0,125,138,CAKI
0,0,740,825,0,0,725,810,CALC
0,0,82,100,0,0,85,107,CALT
0,0,0,0,0,0,0,0,CAMA
0,0,86,99,0,0,91,104,CANT
0,0,0,0,0,0,0,0,CANV
0,0,53,65,0,0,55,68,CANW
0,0,0,0,0,0,0,0,CAPE
0,0,0,0,0,0,0,0,CARC
15,20,52,62,16,23,56,67,CARW
0,0,56,65,0,0,59,68,CASP
0,0,103,113,0,0,104,115,CASW
0,0,0,0,0,0,0,0,CATE
0,0,92,105,0,0,95,108,CATH
0,0,67,75,0,0,69,77,CAVI
8,13,57,67,8,15,60,70,CAWA
0,0,0,0,0,0,0,0,CAYT
8,10,54,63,8,10,57,66,CBCH
0,0,96,111,0,0,102,115,CBTH
10,20,76,85,10,20,81,91,CCLO
9,14,56,62,9,14,59,67,CCSP
0,0,113,126,0,0,118,129,CCTH
27,46,88,99,26,40,90,100,CEDW
7,12,59,66,8,12,61,70,CERW
0,0,0,0,0,0,0,0,CHCO
0,0,0,0,0,0,0,0,CHPE
378,607,321,361,442,667,332,380,CHRA
0,0,0,0,0,0,0,0,CHSH
11,15,60,74,10,15,64,77,CHSP
17,29,123,136,17,29,122,134,CHSW
0,0,0,0,0,0,0,0,CITE
0,0,0,0,0,0,0,0,CLGR
106,155,173,196,123,161,180,202,CLNU
0,0,127,159,0,0,135,169,CLRA
17,24,96,114,17,24,99,117,CLSW
0,0,0,0,0,0,0,0,CLTE
8,17,61,70,6,17,62,72,CMWA
0,0,357,395,0,0,343,378,COBH
0,0,0,0,0,0,0,0,COCA
18,27,0,0,17,28,0,0,COCH
0,0,0,0,0,0,0,0,COEI
0,0,62,71,0,0,65,75,COFL
0,0,82,90,0,0,82,91,COGD
0,0,0,0,0,0,0,0,COGO
73,125,115,135,90,152,128,150,COGR
349,666,244,283,272,457,215,248,COHA
2,3,43,46,2,5,42,46,COHU
0,0,115,122,0,0,118,131,COKI
0,0,0,0,0,0,0,0,COLK
0,0,0,0,0,0,0,0,COLO
0,0,57,65,0,0,60,69,COLW
0,0,0,0,0,0,0,0,COME
0,0,157,171,0,0,167,182,COMO
0,0,0,0,0,0,0,0,COMU
0,0,0,0,0,0,0,0,COMW
120,138,0,0,82,130,0,0,COMY
0,0,173,203,0,0,178,210,CONI
10,21,63,73,10,22,65,75,CONW
0,0,223,239,0,0,229,246,COPE
42,58,132,153,42,58,129,152,COPO
1050,1300,383,438,1100,1400,386,468,CORA
11,17,67,82,12,18,68,84,CORE
21,30,0,0,21,30,0,0,CORO
0,0,0,0,0,0,0,0,COSA
