"Species","PseudoSpeciesType","SpeciesDescriptionMBO","SpeciesDescriptionCMMN","SpeciesFrench","SpeciesScientific","AOUOrder","AOSCode","MBOBandingList","DETOrder","MBOMasterDETList","DETTempOrder","WingMaxMale","WingMinMale","WingMaxFemale","WingMinFemale","WeightMaxMale","WeightMinMale","WeightMaxFemale","WeightMinFemale","WingValidate","WeightValidate","MaxMultiCaptureSpan","SpeciesCategoryID","SpeciesDescriptionMBOPrefix","BandingSummaryOrder","SpeciesEnglish","SpeciesFrenchEx","SpeciesScientificEx","AOUTempOrder","PriorityCategory","SpeciesGroupID","SpeciesEnglishShort","SpeciesCode","SpeciesGroupsMBOChecklistID","SpeciesGroupSpeciesObservedAtMBOID"
"EAPH","Species","Eastern Phoebe","Eastern Phoebe","Moucherolle phébi","Sayornis phoebe",117.00,"4560",1,86.00,1,86,89,74,89,74,25,17,23,15,1,0,1089,8,"**",27.00,,,,117.00,"D",5,,,18,10
"EASO","Species","Eastern Screech-Owl","Eastern Screech-Owl","Petit-duc maculé","Megascops asio",87.00,"3730",1,65.00,1,65,174,134,181,140,221,140,221,140,0,0,385,6,"*",14.00,,,,87.00,,4,,,13,7
"EATO","Species","Eastern Towhee","Eastern Towhee","Tohi à flancs roux","Pipilo erythrophthalmus",192.00,"5870",1,153.00,1,153,94,76,87,72,52,30,51,27,0,0,375,20,,100.00,,,,192.00,,12,,,30,18
"EAWP","Species","Eastern Wood-Pewee","Eastern Wood-Pewee","Pioui de l'Est","Contopus virens",111.00,"4610",1,80.00,1,80,88,77,88,77,18,12,17,11,1,0,0,8,"*",26.00,,,,111.00,,5,,,18,10
"EUST","Species","European Starling","European Starling","Étourneau sansonnet","Sturnus vulgaris",162.00,"4930",1,116.00,1,116,129,119,129,119,96,65,93,61,1,0,35,17,"*",65.00,,,,162.00,"D",14,,,27,21
"EVGR","Species","Evening Grosbeak","Evening Grosbeak","Gros-bec errant","Coccothraustes vespertinus",167.00,"5140",1,132.00,1,132,117,105,114,100,86,39,73,43,0,0,,22,,121.00,,,,167.00,,13,,,33,19
"EWCS","Species","(Eastern) White-crowned Sparrow","White-crowned Sparrow (Eastern)","Bruant à couronne blanche","Zonotrichia leucophrys leucophrys",185.00,"5541",1,146.00,1,146,83,71,83,71,33,24,31,22,1,0,23,20,,110.00,"White-crowned Sparrow",,"Zonotrichia leucophrys",185.00,"B",12,"White-cr. Sparrow","WCSP",30,18
"EWPW","Species","Eastern Whip-poor-will","Eastern Whip-poor-will","Engoulevent bois-pourri","Antrostomus vociferus",39.00,,0,229.00,1,229,,,,,,,,,0,0,,,,,,,,39.00,,4,,,14,9
"FICR","Species","Fish Crow","Fish Crow","Corneille de rivage","Corvus ossifragus",127.00,"4900",0,203.00,1,203,310,260,288,254,332,260,304,195,0,0,,,,,,,,127.00,,8,,,20,12
"FISP","Species","Field Sparrow","Field Sparrow","Bruant des champs","Spizella pusilla",181.00,"5630",1,142.00,1,142,72,61,66,54,16,10,16,10,0,0,6,20,,103.00,,,,181.00,,12,,,30,18
"FOSP","Species","Fox Sparrow","Fox Sparrow","Bruant fauve","Passerella iliaca",182.00,"5850",1,144.00,1,144,91,79,91,79,49,28,49,28,1,0,28,20,,104.00,,,,182.00,"B",12,,,30,18
"GADW","Species","Gadwall","Gadwall","Canard chipeau","Mareca strepera",14.00,"1350",0,7.00,1,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,14.00,,1,,,1,1
"GBBG","Species","Great Black-backed Gull","Great Black-backed Gull","Goéland marin","Larus marinus",62.00,"0470",0,44.00,1,44,0,0,0,0,0,0,0,0,0,0,,,,,,,,62.00,,2,,,10,4
"GBHE","Species","Great Blue Heron","Great Blue Heron","Grand Héron","Ardea herodias",71.00,"1940",1,49.00,1,49,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,71.00,,2,,,4,2
